date,total
2018 06 21 18 20,256
2018 06 21 18 30,249
2018 06 21 18 40,218
2018 06 21 18 50,196
2018 06 21 19 00,189
2018 06 21 19 10,154
2018 06 21 19 20,146
2018 06 21 19 30,112
2018 06 21 19 40,116
2018 06 21 19 50,102
2018 06 21 20 00,90
2018 06 21 20 10,89
2018 06 21 20 20,86
2018 06 21 20 30,40
2018 06 21 20 40,36
2018 06 21 20 50,32
2018 06 21 21 00,28
2018 06 21 21 10,47
2018 06 21 21 20,26
2018 06 21 21 30,8
2018 06 21 21 40,18
2018 06 21 21 50,14
2018 06 21 22 00,17
2018 06 21 22 10,16
2018 06 21 22 20,23
2018 06 21 22 30,7
2018 06 21 22 40,11
2018 06 21 22 50,15
2018 06 21 23 00,13
2018 06 21 23 10,7
2018 06 21 23 20,10
2018 06 21 23 30,10
2018 06 21 23 40,12
2018 06 21 23 50,14
2018 06 22 00 00,8
2018 06 22 00 10,10
2018 06 22 00 20,6
2018 06 22 00 30,3
2018 06 22 00 40,3
2018 06 22 00 50,6
2018 06 22 01 00,1
2018 06 22 01 10,4
2018 06 22 01 20,2
2018 06 22 01 30,3
2018 06 22 01 40,3
2018 06 22 01 50,1
2018 06 22 02 00,2
2018 06 22 02 10,0
2018 06 22 02 20,0
2018 06 22 02 30,0
2018 06 22 02 40,0
2018 06 22 02 50,1
2018 06 22 03 00,4
2018 06 22 03 10,4
2018 06 22 03 20,2
2018 06 22 03 30,2
2018 06 22 03 40,0
2018 06 22 03 50,0
2018 06 22 04 00,0
2018 06 22 04 10,0
2018 06 22 04 20,1
2018 06 22 04 30,2
2018 06 22 04 40,0
2018 06 22 04 50,0
2018 06 22 05 00,0
2018 06 22 05 10,0
2018 06 22 05 20,0
2018 06 22 05 30,1
2018 06 22 05 40,0
2018 06 22 05 50,0
2018 06 22 06 00,2
2018 06 22 06 10,2
2018 06 22 06 20,1
2018 06 22 06 30,1
2018 06 22 06 40,0
2018 06 22 06 50,3
2018 06 22 07 00,3
