date,total
2018 06 23 08 50,71
2018 06 23 09 00,82
2018 06 23 09 10,98
2018 06 23 09 20,110
2018 06 23 09 30,121
2018 06 23 09 40,144
2018 06 23 09 50,128
2018 06 23 10 00,90
2018 06 23 10 10,83
2018 06 23 10 20,98
2018 06 23 10 30,104
2018 06 23 10 40,127
2018 06 23 10 50,109
2018 06 23 11 00,117
2018 06 23 11 10,94
2018 06 23 11 20,88
2018 06 23 11 30,95
2018 06 23 11 40,93
2018 06 23 11 50,125
2018 06 23 12 00,137
2018 06 23 12 10,176
2018 06 23 12 20,221
2018 06 23 12 30,294
2018 06 23 12 40,351
2018 06 23 12 50,374
2018 06 23 13 00,381
2018 06 23 13 10,364
2018 06 23 13 20,366
2018 06 23 13 30,332
2018 06 23 13 40,272
2018 06 23 13 50,214
2018 06 23 14 00,199
2018 06 23 14 10,170
2018 06 23 14 20,135
2018 06 23 14 30,121
2018 06 23 14 40,122
2018 06 23 14 50,113
2018 06 23 15 00,129
2018 06 23 15 10,109
2018 06 23 15 20,122
2018 06 23 15 30,110
2018 06 23 15 40,108
2018 06 23 15 50,95
2018 06 23 16 00,82
2018 06 23 16 10,81
2018 06 23 16 20,87
2018 06 23 16 30,88
2018 06 23 16 40,95
2018 06 23 16 50,90
2018 06 23 17 00,78
2018 06 23 17 10,86
2018 06 23 17 20,80
2018 06 23 17 30,80
2018 06 23 17 40,110
2018 06 23 17 50,161
2018 06 23 18 00,181
2018 06 23 18 10,219
2018 06 23 18 20,297
2018 06 23 18 30,305
2018 06 23 18 40,297
2018 06 23 18 50,289
2018 06 23 19 00,245
2018 06 23 19 10,248
2018 06 23 19 20,247
2018 06 23 19 30,250
2018 06 23 19 40,236
2018 06 23 19 50,246
2018 06 23 20 00,217
2018 06 23 20 10,158
2018 06 23 20 20,144
2018 06 23 20 30,124
2018 06 23 20 40,112
2018 06 23 20 50,87
2018 06 23 21 00,86
2018 06 23 21 10,79
2018 06 23 21 20,54
2018 06 23 21 30,59
2018 06 23 21 40,54
2018 06 23 21 50,42
2018 06 23 22 00,38
2018 06 23 22 10,46
2018 06 23 22 20,30
2018 06 23 22 30,31
2018 06 23 22 40,33
2018 06 23 22 50,24
2018 06 23 23 00,28
2018 06 23 23 10,21
2018 06 23 23 20,13
2018 06 23 23 30,29
2018 06 23 23 40,34
2018 06 23 23 50,28
2018 06 24 00 00,36
2018 06 24 00 10,6
2018 06 24 00 20,10
2018 06 24 00 30,12
2018 06 24 00 40,7
2018 06 24 00 50,5
2018 06 24 01 00,4
2018 06 24 01 10,7
2018 06 24 01 20,4
2018 06 24 01 30,4
2018 06 24 01 40,2
2018 06 24 01 50,6
2018 06 24 02 00,5
2018 06 24 02 10,4
2018 06 24 02 20,1
2018 06 24 02 30,0
2018 06 24 02 40,1
2018 06 24 02 50,0
2018 06 24 03 00,0
2018 06 24 03 10,0
2018 06 24 03 20,0
2018 06 24 03 30,0
2018 06 24 03 40,0
2018 06 24 03 50,1
2018 06 24 04 00,0
2018 06 24 04 10,1
2018 06 24 04 20,0
2018 06 24 04 30,0
2018 06 24 04 40,0
2018 06 24 04 50,1
2018 06 24 05 00,2
2018 06 24 05 10,0
2018 06 24 05 20,0
2018 06 24 05 30,1
2018 06 24 05 40,1
2018 06 24 05 50,1
2018 06 24 06 00,1
2018 06 24 06 10,1
2018 06 24 06 20,3
2018 06 24 06 30,5
2018 06 24 06 40,4
2018 06 24 06 50,8
2018 06 24 07 00,5
2018 06 24 07 10,8
2018 06 24 07 20,13
2018 06 24 07 30,17
2018 06 24 07 40,27
2018 06 24 07 50,22
2018 06 24 08 00,28
2018 06 24 08 10,36
2018 06 24 08 20,32
2018 06 24 08 30,47
2018 06 24 08 40,60
2018 06 24 08 50,67
2018 06 24 09 00,67
2018 06 24 09 10,61
2018 06 24 09 20,70
2018 06 24 09 30,90
2018 06 24 09 40,86
2018 06 24 09 50,85
2018 06 24 10 00,89
2018 06 24 10 10,79
2018 06 24 10 20,67
2018 06 24 10 30,64
2018 06 24 10 40,62
2018 06 24 10 50,65
2018 06 24 11 00,87
2018 06 24 11 10,92
2018 06 24 11 20,99
2018 06 24 11 30,97
2018 06 24 11 40,118
2018 06 24 11 50,141
2018 06 24 12 00,153
2018 06 24 12 10,170
2018 06 24 12 20,194
2018 06 24 12 30,234
2018 06 24 12 40,234
2018 06 24 12 50,234
2018 06 24 13 00,252
2018 06 24 13 10,269
2018 06 24 13 20,267
2018 06 24 13 30,250
2018 06 24 13 40,244
2018 06 24 13 50,202
2018 06 24 14 00,196
2018 06 24 14 10,187
2018 06 24 14 20,149
2018 06 24 14 30,144
2018 06 24 14 40,138
2018 06 24 14 50,144
2018 06 24 15 00,142
2018 06 24 15 10,126
2018 06 24 15 20,119
2018 06 24 15 30,107
2018 06 24 15 40,120
2018 06 24 15 50,115
2018 06 24 16 00,95
2018 06 24 16 10,78
2018 06 24 16 20,82
2018 06 24 16 30,79
2018 06 24 16 40,83
2018 06 24 16 50,87
2018 06 24 17 00,77
2018 06 24 17 10,97
2018 06 24 17 20,105
2018 06 24 17 30,100
2018 06 24 17 40,132
2018 06 24 17 50,184
2018 06 24 18 00,196
2018 06 24 18 10,223
2018 06 24 18 20,233
2018 06 24 18 30,253
2018 06 24 18 40,251
2018 06 24 18 50,289
2018 06 24 19 00,309
2018 06 24 19 10,273
2018 06 24 19 20,284
2018 06 24 19 30,270
2018 06 24 19 40,245
2018 06 24 19 50,214
2018 06 24 20 00,180
2018 06 24 20 10,146
2018 06 24 20 20,138
2018 06 24 20 30,117
2018 06 24 20 40,128
2018 06 24 20 50,109
2018 06 24 21 00,106
2018 06 24 21 10,85
2018 06 24 21 20,87
2018 06 24 21 30,67
2018 06 24 21 40,59
2018 06 24 21 50,52
2018 06 24 22 00,59
2018 06 24 22 10,30
2018 06 24 22 20,53
2018 06 24 22 30,57
2018 06 24 22 40,46
2018 06 24 22 50,38
2018 06 24 23 00,36
2018 06 24 23 10,24
2018 06 24 23 20,34
2018 06 24 23 30,32
2018 06 24 23 40,17
2018 06 24 23 50,15
2018 06 25 00 00,0
2018 06 25 00 10,8
2018 06 25 00 20,10
2018 06 25 00 30,6
2018 06 25 00 40,5
2018 06 25 00 50,2
2018 06 25 01 00,5
2018 06 25 01 10,3
2018 06 25 01 20,6
2018 06 25 01 30,4
2018 06 25 01 40,3
2018 06 25 01 50,1
2018 06 25 02 00,3
2018 06 25 02 10,1
2018 06 25 02 20,2
2018 06 25 02 30,2
2018 06 25 02 40,2
2018 06 25 02 50,4
2018 06 25 03 00,2
2018 06 25 03 10,2
2018 06 25 03 20,1
2018 06 25 03 30,1
2018 06 25 03 40,1
2018 06 25 03 50,2
2018 06 25 04 00,1
2018 06 25 04 10,1
2018 06 25 04 20,1
2018 06 25 04 30,2
2018 06 25 04 40,2
2018 06 25 04 50,2
2018 06 25 05 00,1
2018 06 25 05 10,1
2018 06 25 05 20,1
2018 06 25 05 30,5
2018 06 25 05 40,4
2018 06 25 05 50,4
2018 06 25 06 00,4
2018 06 25 06 10,4
2018 06 25 06 20,5
2018 06 25 06 30,4
2018 06 25 06 40,3
2018 06 25 06 50,8
2018 06 25 07 00,13
2018 06 25 07 10,18
2018 06 25 07 20,27
2018 06 25 07 30,41
2018 06 25 07 40,67
2018 06 25 07 50,64
2018 06 25 08 00,88
2018 06 25 08 10,95
2018 06 25 08 20,112
2018 06 25 08 30,181
2018 06 25 08 40,205
2018 06 25 08 50,216
2018 06 25 09 00,209
2018 06 25 09 10,167
2018 06 25 09 20,153
2018 06 25 09 30,157
2018 06 25 09 40,180
2018 06 25 09 50,206
2018 06 25 10 00,187
2018 06 25 10 10,130
2018 06 25 10 20,126
2018 06 25 10 30,117
2018 06 25 10 40,116
2018 06 25 10 50,115
2018 06 25 11 00,108
